id,title,director,duration_minutes,genres,release_year,synopsis,themes,thumbnail_url,video_url,view_count
6668ec9b-badb-400e-963e-9b58fd3148cf,Comment c'est trop moche,,2,Drama,2026,Court metrage Nikon Film Festival : Comment c'est trop moche,Drama,,https://www.youtube.com/watch?v=dE5A-smwYXg,1279
0b84889b-b2cc-437f-b6ed-312664af9b07,La Pelle et la Bête,,2,Experimental,2026,"Un ouvrier de chantier fait une troublante découverte, visqueuse et sublime, capable de bouleverser les rapports de forces entre la terre et le fer.",Experimental,,https://www.youtube.com/watch?v=P-M4n5MpT60,1247
ffa0a93d-43b1-4830-b61b-5ecaa7bc526b,Le casier,,2,Drama,2026,Jean est dans les vestiaires de la piscine avec son club.,Drama,,https://www.youtube.com/watch?v=JmLH7IMzT1w,1236
a223ad4e-22c1-4fdc-bace-2084188d27dc,Blush & Crush,,2,Drama,2026,Hello mes croquettes !,Drama,,https://www.youtube.com/watch?v=Yl0ZnOKz39Y,1220
8ebea758-25a5-4b49-88c9-f2b88e0d1b35,La vie est belle,,2,Drama,2026,Suzanne s'inquiète pour sa fille qui grandit.,Drama,,https://www.youtube.com/watch?v=t8p2ZaLt2kE,1184
78827121-393f-4410-921d-78cbf98eef35,Relou'Kings,,2,Drama,2026,Vous n'avez pas de style ?,Drama,,https://www.youtube.com/watch?v=IorxMKteq14,1170
12827ab0-61e1-4619-a45e-96396db263eb,AVEC TOI,,2,Drama,2026,"Un frère et une sœur, dans une salle d'attente, essaient de préserver un peu de beauté avant de se confronter à leur passé.",Drama,,https://www.youtube.com/watch?v=UwiSYTUhHbI,1163
0fd5ff74-ff3d-4f37-97f8-eaa241d31c11,FASHION STANDARD - Épisode N°1,,2,"Animation, Sci-Fi, Experimental",2026,"Stéphanie Carell, créatrice et animatrice d’une émission de relooking, poursuit un objectif clair : imposer la vision de la beauté comme modèle absolu de vie.","Animation, Sci-Fi, Experimental",,https://www.youtube.com/watch?v=ppJB3fwzhlM,1150
2ae9c3f0-994d-444b-a642-66037f802b84,CHAIR,,2,Drama,2026,"Fascinée par la beauté de sa colocataire, une jeune femme nourrit une admiration silencieuse et dévorante.",Drama,,https://www.youtube.com/watch?v=HsYsY5e0V0k,1146
981cb293-0d67-423a-a354-9e9852c16e5c,A L'ABRI DES REGARDS ( Agathe ),,2,"Documentary, Fantasy, Drama",2026,"Ce documentaire dresse le portrait d'Agathe, ( ma voisine ) une jeune fille qui nous raconte son parcours marqué par la maladie.","Documentary, Fantasy, Drama",,https://www.youtube.com/watch?v=cqwsOOygKXI,1141
c29b3f3a-0377-4fa7-9b0f-65122c9dcba1,Souriez !,,2,Drama,2026,"En 1986, Charlie remarque une publicité normale dans un abribus tout à fait normal.",Drama,,https://www.youtube.com/watch?v=eh3YA1Z8W3M,1128
cb375000-234b-45f8-a303-d886a413f395,À TON GOÛT,,2,Documentary,2026,"Viktor, jeune et séduisant vampire de 439 ans a un date avec Suzanne.",Documentary,,https://www.youtube.com/watch?v=0QiGKmFEFoM,1117
32142924-0158-4733-ad68-0f131d4de32f,Désaccordés,,2,Drama,2026,"Caroline se prépare pour le bal de fin d’année, mais ce soir-là, elle décide que ce ne sera pas aux autres de choisir qui elle doit être.",Drama,,https://www.youtube.com/watch?v=gENq6UYL7qU,1113
4150bd2d-9c7e-4705-b2ba-634d1ab49be7,"Bleuets, Pâquerettes et Coquelicots",,2,"Drama, Documentary",2026,"À la fin de la Première Guerre mondiale, des hommes reviennent.","Drama, Documentary",,https://www.youtube.com/watch?v=reCfXskVvT0,1021
d25bb948-d964-4651-9def-8f7bdeb96d5e,50 STEPS OF BEAUTY,,2,Drama,2026,Quand la beauté devient torture.,Drama,,https://www.youtube.com/watch?v=1ystiiwGroc,1018
606d122c-c612-4031-adbf-68af375e04eb,Pour elle,,2,Romance,2026,"At sunset in a quiet pasture, a simple, casual question sends Paul spiraling into a torrent of thoughts about his relationship.",Romance,,https://www.youtube.com/watch?v=lzPQUC5nwtY,958
c23d5b4d-fe4b-47a6-94e5-80a6f8f6563c,Prunelle - Épisode N°2,,2,Romance,2026,"C’est l’histoire d’une rencontre entre deux êtres singuliers, qui contre toute attente, ont beaucoup à s’apporter.",Romance,,https://www.youtube.com/watch?v=ZcW8GGbrqpo,958
f25269c5-250b-4f39-8e46-9ee585b85fd8,Jusqu'au beau de la nuit,,2,Romance,2026,"Dans le silence et la solitude de son insomnie, une maman soupire, hurle, bouillonne, marmonne, s'en veut de ne pas dormir, alors que bon, tout va bien… pour une fois que tout le monde dort !",Romance,,https://www.youtube.com/watch?v=DtQRzTROixw,957
2e76592d-76ca-45e8-a4de-242883ee0107,BEAUTY QUEEN,,2,Drama,2026,Trois jolies pestes harcèlent une certaine Peggy par d’incessants textos.,Drama,,https://www.youtube.com/watch?v=x6kEC919fYY,931
5dacb39f-78d7-4b0c-8616-53c69fe7abdb,Coup d'un soir,,2,Drama,2026,"David Ferrat, le célèbre mannequin, se rend à un date.",Drama,,https://www.youtube.com/watch?v=KX3WCdRzzWw,905
76bce94a-67d5-4e86-8ff2-0c8e660613a1,Baraka,,2,Drama,2026,"Dans l'étendue silencieuse du désert marocain, un homme croise une présence inattendue sur sa route qui semble cacher une vérité plus profonde.",Drama,,https://www.youtube.com/watch?v=rPvRTTdXmng,880
f4a6bd1c-9db4-4774-9fce-0e5b1f55946a,EXOTIQUE,,2,Experimental,2026,Ce film est une compilation de plusieurs castings que j'ai passés en tant qu'actrice.,Experimental,,https://www.youtube.com/watch?v=8D15tQQTJKM,859
c72b668e-f0c8-40a3-a15b-c1cbea41fdad,WOMEN CONVERSATIONS,,2,"Sci-Fi, Romance",2026,"Women Conversations explore la rencontre entre deux générations de femmes, confrontées au poids du regard.","Sci-Fi, Romance",,https://www.youtube.com/watch?v=NnkZIqOvrWM,841
821c2a87-7c05-4954-b8d6-eed5ae4d213a,Prunelle - Épisode N°3,,2,Romance,2026,"C’est l’histoire d’une rencontre entre deux êtres singuliers, qui contre toute attente, ont beaucoup à s’apporter.",Romance,,https://www.youtube.com/watch?v=-ZTHmltKhLs,818
906033c3-2dec-463d-965c-f8803e441262,Le freak c'est chic,,2,Drama,2026,"Alors qu'elle se prépare pour un rendez-vous galant, une femme se fait harceler par son propre reflet..",Drama,,https://www.youtube.com/watch?v=FOI1d11IGtA,793
1d9e68a5-28e4-4b6d-ad10-158a9860bf25,Jolie Monstre,,2,"Horror, Romance, Drama",2026,"Un jeune couple, la fantaisie du quotidien, un vieux téléphone à touches qui n'est pas branché.","Horror, Romance, Drama",,https://www.youtube.com/watch?v=tRe73xdOckk,779
a85e8064-4103-43a5-b213-92cb312fe12c,Ici ça plante,,2,"Drama, Horror, Experimental",2025,"Dans un monde ravagé où plus rien ne pousse, un jeune paysagiste tente de redonner vie à la terre en créant une plante nouvelle, née de la foudre et de son espoir.","Drama, Horror, Experimental",,https://www.youtube.com/watch?v=vBZNgoS5FGQ,775
1b6df241-8539-46d9-9625-7e8f2f703987,Pot de chagrin,,2,Romance,2025,"Thévy, une adolescente d'origine cambodgienne utilise compulsivement de la crème blanchissante pour devenir ""plus jolie"", sans savoir que ça détruit sa peau, sa santé et son amour propre.",Romance,,https://www.youtube.com/watch?v=1025jXQtOEw,748
af5cab96-1d22-49fe-8b0c-5eaadedb7ee9,FAIS TOI BELLE,,2,Romance,2026,"Dimanche matin, Cléo traîne avec ses amies lorsqu'elle reçoit le message d'une personne avec qui elle relationne depuis peu.",Romance,,https://www.youtube.com/watch?v=jg_oNsYOE7c,718
dd4f8d2a-cf9a-4cfb-9e21-2e57c9d2c892,Déverrouiller,,2,Drama,2026,"Le temps d’un week-end un jeune homme retrouve sa chambre d’adolescent, parsemée de souvenirs silencieux.",Drama,,https://www.youtube.com/watch?v=6kAMCRWqWfI,685
ed6f443a-39f8-4d3e-8f8d-030c220b8094,Trace,,2,Romance,2026,"Dans une chambre vide, Théo et Axel se retrouvent après avoir fait l’amour, suspendus dans un instant de calme absolu.",Romance,,https://www.youtube.com/watch?v=mklkPy_yMdI,668
3f534f49-b04c-4609-a73f-ebfd58f435fd,les vagues sans sel.,,2,Drama,2026,"Marcel, octogénaire en marge, vit seul dans sa maison.",Drama,,https://www.youtube.com/watch?v=Kj8XqWJoTgw,635
347677d7-dbb0-4199-b347-2f3fdc7231e6,L,,2,Comedy,2026,"Un soir, entre potes, une question lancée presque pour rire fait dérailler la conversation.",Comedy,,https://www.youtube.com/watch?v=ZCH1NBQTmTg,629
